groupe,jour,debut,fin,salle,prof,type,presentiel,dates,sigle,titre,note
10,Lundi,18h00,21h00,DS-1420,Daniel Tomiuk,Cours magistral,,,AOT1110,"Organisation, gestion et système d'information", Ce cours remplace MET1110 Ce cours remplace MET1110 Ce cours remplace MET1110
30,Mercredi,18h00,21h00,DS-1525,Daniel Tomiuk,Cours magistral,,,AOT1110,"Organisation, gestion et système d'information", Ce cours remplace MET1110 Ce cours remplace MET1110 Ce cours remplace MET1110
40,Jeudi,09h30,12h30,DS-1420,Daniel Tomiuk,Cours magistral,,,AOT1110,"Organisation, gestion et système d'information", Ce cours remplace MET1110 Ce cours remplace MET1110 Ce cours remplace MET1110
30,Mercredi,18h00,21h00,DS-M460,Abdelhaq Sari,Cours magistral,,,AOT5321,Systèmes décisionnels et intelligence d'affaires (B.I.), CE COURS REMPLACE LE MET6910Inscription par votre direction de programme
40,Jeudi,09h30,12h30,R-R150,Pierre Hadaya,Cours magistral,,,AOT5332,Introduction aux progiciels de gestion intégrés (PGI), REMPLACE LE COURS MET4902
20,Mardi,18h00,21h00,V-3445,Rachid Belkouch,Cours magistral,,,AOT5334,Implantation et configuration de progiciels de gestion intégrés (PGI), CE COURS REMPLACE LE MET5904SÉANCES EN LABORATOIRE
10,Lundi,18h00,21h00,DS-M280,Rachid Belkouch,Cours magistral,,,AOT5341,Collaboration à l'ère du travail hybride, CE COURS REMPLACE LE MET5311
10,Lundi,09h00,12h00,SB-R440,Nicolas Pouderous,Cours magistral,,,BIO0300,Biologie générale (hors programme), Cours d'appoint hors programme.
10,Lundi,09h30,12h30,PK-R310,Livain Breau,Cours magistral,,,CHI1570,Nutrition humaine,
20,Mardi,17h00,20h00,PK-R605,Nicoleta Bogdan,Cours magistral,,,CHI3910,Chimie environnementale de l'atmosphère,
20,Mardi,18h00,21h00,DS-M425,Yan-Olivier Charest,Cours magistral,,,ECO1081,Économie des technologies de l'information,
50,Vendredi,09h30,12h30,DS-R515,Yan-Olivier Charest,Cours magistral,,,ECO1081,Économie des technologies de l'information,
40,Jeudi,09h00,12h00,SH-3140,Marie-Ève Maillé,Cours magistral,,,ENV5110,Communication scientifique en sciences de l'environnement,
40,Jeudi,13h00,15h00,SH-3140,Marie-Ève Maillé,Laboratoire,,,ENV5110,Communication scientifique en sciences de l'environnement,
50,Vendredi,09h30,12h00,SH-2560,Nicolas Merveille,Cours magistral,,,FSM4000,Sciences et société, Cohorte 2019 - 4e année
30,Mercredi,14h00,17h00,A-4160,Olivier Caron,Cours magistral,,,GEO4091,Systèmes d'information géographique, Cours obligatoire à la majeure 6155 et au baccalauréat 7756.Sorties sur le terrain.
30,Jeudi,12h00,14h00,A-4160,Olivier Caron,Laboratoire,,,GEO4091,Systèmes d'information géographique, Cours obligatoire à la majeure 6155 et au baccalauréat 7756.Sorties sur le terrain.
30,Jeudi,14h00,16h00,A-4160,Olivier Caron,Laboratoire,,,GEO4091,Systèmes d'information géographique, Cours obligatoire à la majeure 6155 et au baccalauréat 7756.Sorties sur le terrain.
10,Lundi,09h30,12h30,SH-R810,Quentin Stiévenart,Cours magistral,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
10,Mercredi,14h00,16h00,PK-S1540,Quentin Stiévenart,Atelier,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
10,Mercredi,14h00,16h00,PK-S1555,Quentin Stiévenart,Atelier,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
10,Mercredi,14h00,16h00,PK-S1575,Quentin Stiévenart,Atelier,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
11,Lundi,18h00,21h00,SH-3620,Quentin Stiévenart,Cours magistral,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
11,Mardi,18h00,20h00,PK-S1555,Quentin Stiévenart,Atelier,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
11,Mardi,18h00,20h00,PK-S1535,Quentin Stiévenart,Atelier,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
11,Mardi,18h00,20h00,PK-S1530,Quentin Stiévenart,Atelier,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
20,Mardi,13h30,16h30,SH-2420,Quentin Stiévenart,Cours magistral,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
20,Jeudi,13h30,15h30,PK-S1575,Quentin Stiévenart,Atelier,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
20,Jeudi,13h30,15h30,PK-S1565,Quentin Stiévenart,Atelier,,,INF1070,Utilisation et administration des systèmes informatiques, Examens Examens Examens
10,Lundi,18h00,21h00,SH-R810,Mélanie Lord,Cours magistral,,,INF1120,Programmation I, Examens Examens Examens
10,Mardi,18h00,20h00,PK-S1575,Mélanie Lord,Atelier,,,INF1120,Programmation I, Examens Examens Examens
10,Mardi,18h00,20h00,PK-S1590,Mélanie Lord,Atelier,,,INF1120,Programmation I, Examens Examens Examens
